question,cypher,type,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
What is the nationality of the folktale 'The Birdcatcher'?,"MATCH (f:Folktale {title: ""The Birdcatcher""})-[:FROM_NATION]->(n:Nation) RETURN n.name AS ground_truth LIMIT 1",simple_fact,serbian,The nationality of the folktale 'The Birdcatcher' is Serbian.,3.938259,"[""{'nation': 'serbian'}""]",1.0,1.0,0.6666666666666666
Where does Momotaro live?,"MATCH (a:Character)-[:LIVES_IN]->(p:Place) WHERE toLower(a.name) CONTAINS ""momotaro"" RETURN p.name AS ground_truth LIMIT 1",simple_fact,their village,Their village.,19.234426,"[""{'p': {'name': 'their village', 'description': 'where Momotaro lived with his adoptive parents', 'id': 'place_b0fd00fbe7dc4306a14dae642dc4f012', 'type': 'village'}}""]",1.0,1.0,0.6666666666666666
What is the race of the character Momotaro?,"MATCH (a:Character) WHERE toLower(a.name) CONTAINS ""momotaro"" RETURN a.race AS ground_truth LIMIT 1",simple_fact,human,The character Momotaro is human.,18.976497,"[""{'race': 'human'}""]",1.0,1.0,0.5
What type of place is Constantinople?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""constantinople"" RETURN p.type AS ground_truth LIMIT 1",simple_fact,city,The answer is: Constantinople is a city.,19.160987,"[""{'p.type': 'city'}""]",1.0,1.0,0.5
Who is the tailor's wife from 'Sharing Joy and Sorrow'?,"MATCH (c:Character) WHERE c.name CONTAINS ""tailor's wife"" RETURN c.description AS ground_truth",simple_fact,"A good, industrious, and pious wife who is abused by her husband.","The tailor's wife is not explicitly mentioned in the tool output. However, it does mention that the tailor is a male and has a quarrelsome and abusive relationship with his wife. Therefore, I can infer that the tailor's wife might be the female character who is being abused by her husband.

However, since this information is not directly supported by the tool output, I will provide a more cautious answer:

This information is not in the knowledge base.",23.045212,"[""{'n': {'race': 'human', 'gender': 'male', 'name': 'the tailor', 'description': 'A quarrelsome and abusive husband who beats his wife.', 'id': 'agent_1ec6e1f685c44ed6add8df83116cffcf', 'ageGroup': 'adult'}}""]",1.0,1.0,0.6666666666666666
What is the description of The Magistrates' Court?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""court"" RETURN p.description AS ground_truth LIMIT 1",simple_fact,"A building used for public services, where the magistrates held court.",This information is not in the knowledge base.,21.472135,"[""name: The River\ndescription: A large natural flowing body of water near the tiger's farm.\ntype: river""]",1.0,1.0,1.0
What genre is 'Momotaro' folktale?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_GENRE]->(g:Genre) RETURN g.name AS ground_truth LIMIT 1",simple_fact,fairy_tale,The genre of the 'Momotaro' folktale is a fairy tale.,8.492128,"[""{'genre': 'fairy_tale'}""]",1.0,1.0,0.8
What is the gender of the character birdcatcher?,"MATCH (a:Character) WHERE toLower(a.name) CONTAINS ""birdcatcher"" RETURN a.gender AS ground_truth LIMIT 1",simple_fact,male,The gender of the character birdcatcher is male.,19.111852,"[""{'c.gender': 'male'}""]",1.0,1.0,0.8
How did Momotaro convince the animals to join him on his journey?,"RETURN ""Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them."" AS ground_truth",simple_fact,Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them.,This information is not in the knowledge base.,14.12053,[],0.0,1.0,0.6666666666666666
What is Momotaro's Role?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_EVENT]->(:Event)-[:HAS_CHARACTER]->(a:Character {name: ""Momotaro""})-[:HAS_ROLE]->(r:Role) RETURN r.name AS ground_truth LIMIT 1",relational_query,main_character,Momotaro's role is the main character.,19.119077,"[""{'role': 'main_character'}""]",1.0,1.0,0.6666666666666666
List all the events in the folktale 'The Thieves and the Cock',"MATCH (f:Folktale {title: ""The Thieves and the Cock""})-[:HAS_EVENT]->(e:Event) RETURN e.name AS ground_truth ORDER BY e.name",relational_query,Cock Pleads for Mercy; Thief Wrings Cock's Neck; Thief throws Cock into pot.; Thieves steal a Cock.,This information is not in the knowledge base.,6.271531,[],0.0,1.0,0.6666666666666666
What Event nodes take place in Constantinople?,MATCH (e:Event)-[:TAKES_PLACE_IN]->(p) WHERE toLower(p.name) CONTAINS 'constantinople' RETURN DISTINCT e.name AS ground_truth,relational_query,The Birdcatcher Lives; Sultana Asks Birdcatcher Favor,"The Event nodes that take place in Constantinople are:

* event_239829df3e28488faa994831036851ab: The Birdcatcher Lives
* event_f16c34433e924d37b3198611b578ad42: Sultana Asks Birdcatcher Favor",31.722589,"['{\'e\': {\'thoughts\': [""The text describes a man\'s daily life and occupation without any conflict or tension. It seems to be setting up the character and his situation."", ""The text describes a man\'s daily life and occupation, which serves as background information. There is no conflict or plot progression in this fragment."", ""The provided text describes a character\'s daily life and occupation, setting up the scene without any conflict or resolution. It\'s part of the setup."", ""The text describes a man\'s daily life and occupation without any conflict or tension. It seems to be setting up the character and his situation."", ""The text describes a man\'s daily life and occupation without any conflict or tension. It seems to be setting up the character and his situation."", ""The text describes a character\'s daily life and occupation without any conflict or tension. It serves as background information, setting up the scene."", ""The text describes a character\'s daily life and occupation without any conflict or tension. It serves as background information, setting up the scene."", ""The text describes a character\'s daily life and occupation without any conflict or tension. It serves as background information, setting up the scene."", ""The text describes a character\'s daily life and occupation without any conflict or tension. It serves as background information, setting up the scene.""], \'name\': \'The Birdcatcher Lives\', \'description\': \'Near Constantinople there lived a man who knew no other occupation but that of catching birds; his neighbours called him the birdcatcher. Some he used to sell, others served him for food, and thus he maintained himself.\', \'id\': \'event_239829df3e28488faa994831036851ab\', \'order\': 0}}', '{\'e\': {\'thoughts\': [\'The event involves the hero acting within the core plot. The birdcatcher is summoned by the emperor and follows instructions from the crow to bring the mother of the nightingales before him. This event drives the story forward through external help.\', ""The new sultana\'s request for revenge on the birdcatcher by asking him to find her lost ring marks a turning point in the story where the consequences of previous events come into play. The birdcatcher has already been rewarded and placed in the sultana\'s house, setting the stage for this event."", ""The new sultana\'s request for the birdcatcher to find her lost ring is a relatively minor event that doesn\'t drive the main plot forward or resolve any major conflict. It seems to be more of an aside, possibly used to further establish the character of the sultana."", ""The new sultana\'s request for revenge on the birdcatcher by asking him to find her lost ring does not drive the main plot forward or resolve any major conflict. It seems to be more of an aside, possibly used to further establish the character of the sultana."", \'The event involves the hero acting within the core plot. The birdcatcher is summoned by the emperor and follows instructions from the crow to bring the mother of the nightingales before him. This event drives the story forward through external help.\', ""The new sultana\'s request for revenge on the birdcatcher by asking him to find her lost ring does not drive the main plot forward or resolve any major conflict. It seems to be more of an aside, possibly used to further establish the character of the sultana.""], \'name\': \'Sultana Asks Birdcatcher Favor\', \'description\': \'The new sultana was in a perpetual state of irritation, for it was poor luck to be obliged to be affectionate to an elderly longbeard. She wanted to revenge herself on the birdcatcher by asking him to find her lost ring.\', \'id\': \'event_f16c34433e924d37b3198611b578ad42\', \'order\': 14}}']",1.0,0.5,0.6666666666666666
Who are Momotaro's friends?,"MATCH (a:Character)-[r]->(b:Character) WHERE toLower(a.name) CONTAINS ""momotaro"" AND r.type = ""friend"" RETURN DISTINCT b.name AS ground_truth",relational_query,This information is not in the knowledge base.,"The friends of Momotaro are a dog, a monkey, and an owl.",22.350434,"[""name: tiger's son\ndescription: The tiger's child, who is deceived by the rabbit.\nrole: tertiary_character""]",0.0,0.0,0.0
Which characters appear in the folktale 'The Thieves and the Cock'?,"MATCH (f:Folktale {title: ""The Thieves and the Cock""})-[:HAS_EVENT]->(:Event)-[:HAS_CHARACTER]->(a:Character) RETURN DISTINCT a.name AS ground_truth",relational_query,Thief; Cock,This information is not in the knowledge base.,5.604726,[],0.0,1.0,0.0
What are the personality traits of the tiger character?,"MATCH (a:Character)-[r:HAS_TRAIT]->(t:Trait) WHERE toLower(a.name) CONTAINS ""tiger"" RETURN t.name + ' (' + toString(r.strength) + ')' AS ground_truth ORDER BY r.strength DESC LIMIT 5",relational_query,extraversion (0.8); conscientiousness (0.6); conscientiousness (0.6); neuroticism (0.5); neuroticism (0.5),"The tiger character's personality traits are:
- Openness: 60%
- Conscientiousness: 40%
- Extraversion: 80%
- Agreeableness: 20%
- Neuroticism: 50%",25.302685,"[""{'trait': 'openness'}"", ""{'trait': 'conscientiousness'}"", ""{'trait': 'extraversion'}"", ""{'trait': 'agreeableness'}"", ""{'trait': 'neuroticism'}"", ""{'trait': 'openness'}"", ""{'trait': 'conscientiousness'}"", ""{'trait': 'extraversion'}"", ""{'trait': 'agreeableness'}"", ""{'trait': 'neuroticism'}""]",0.75,0.6,0.5
Give me the first 3 events of 'How the Tiger Got Its Stripes.',"MATCH (f:Folktale {title: ""How the Tiger Got His Stripes""})-[:HAS_EVENT]->(e:Event) RETURN e.name AS ground_truth ORDER BY e.order ASC LIMIT 3",complex_query,Tiger Seeks Farm Worker; Tiger Offers Work Reward; Tiger Rejects Monkey Worker,This information is not in the knowledge base.,15.105898,[],0.0,1.0,0.5714285714285715
What happened to Momotaro and his companions when they were in The Ogres' Island castle?,"MATCH (p:Place)<-[:TAKES_PLACE_IN]-(e:Event) WHERE toLower(p.name) CONTAINS ""ogres' island castle"" RETURN e.description AS ground_truth ORDER BY e.order",complex_query,"But the old man never got a taste of the peach. And why did he not?All of a sudden the peach burst in two and there was no stone to it, but a fine boy baby where the stone should have been.“Mercy me!” says the old woman.“Mercy me!” says the old man.; “Why,” says Momotaro, “I’m going on a journey, or as you may say, an adventure, and I shall be needing the kimi-dango on the way.”“Where are you going, Momotaro?” says his mother.“I’m off to the Ogres’ Island,” says Momotaro, “to get their treasure, and I should be obliged if you’d let me have the kimi-dango as soon as may be,” he says.; He hadn’t gone far when he fell in with a monkey.“Kia! Kia!” says the monkey. “Where are you off to, Momotaro?”Says Momotaro, “I’m off to the Ogres’ Island for an adventure.”; They hadn’t gone far when they fell in with a dog.“Bow! Wow! Wow!” says the dog. “Where are you off to, Momotaro?”Says Momotaro, “I’m off to the Ogres’ Island.”“What have you got in your wallet, Momotaro?”; By-and-by they came to the Ogres’ Island.“Now, brothers,” says Momotaro, “listen to my plan. The pheasant must fly over the castle gate and peck the Ogres. The monkey must climb over the castle wall and pinch the Ogres. The dog and I will break the bolts and bars.; He will bite the Ogres, and I will fight the Ogres.”Then there was the great battle.Japanese Fairy tale Series, 1 of 16. Griffiin, Farran and Co. Unknown author and illustrator. Published around the 1890’s.The pheasant flew over the castle gate: “Ken! Ken! Ken!”; Those that were left alive they took prisoners and bound with cords—a wicked lot they were.“Now, brothers,” says Momotaro, “bring out the Ogres’ treasure.”So they did.The treasure was worth having, indeed.; “Kia! Kia!” says the monkey. “Thanks, my Lord Momotaro.”“Ken! Ken!” says the pheasant. “Thanks, my Lord Momotaro.”“Bow! Wow! Wow!” says the dog. “Thanks, my dear Lord Momotaro.”",This information is not in the knowledge base.,23.24485,[],0.0,1.0,0.6666666666666666
What happened after the tailor was put in prison?,"MATCH (f:Folktale)-[:HAS_EVENT]->(e1:Event)-[:POST_EVENT]->(e2:Event) WHERE toLower(e1.description) CONTAINS ""prison"" AND toLower(e1.description) CONTAINS ""tailor"" RETURN e2.description AS ground_truth LIMIT 1",complex_query,"All went on well for a time, but then tailor fell into his old ways, and was surly and quarrelsome. And because tailor dared not beat her, he would seize her by the hair and tear it out. The woman escaped from him, and sprang out into the yard, but he ran after her with his yard-measure and scissors, and chased her about, and threw the yard-measure and scissors at her, and whatever else came his way.",This information is not in the knowledge base.,13.792255,[],0.0,1.0,0.6666666666666666
Which are the 3 most important characters based on the number of events they appear in?,"MATCH (a:Character)<-[:HAS_CHARACTER]-(e:Event) RETURN a.name AS ground_truth, count(e) AS event_count ORDER BY event_count DESC LIMIT 3",complex_query,rabbit; tiger; birdcatcher,This information is not in the knowledge base.,21.190698,[],0.0,1.0,0.6666666666666666
Give me a character who has the role of helper and then describe them.,"MATCH (a:Character)-[:HAS_ROLE]->(r:Role) WHERE toLower(r.name) CONTAINS ""helper"" WITH collect('Character: ' + a.name + '\nDescription: ' + a.description) AS characters RETURN reduce(result = '', c IN characters | result + CASE WHEN result = '' THEN '' ELSE '\n\nOR\n\n' END + c) AS ground_truth",complex_query,"Character: monkey
Description: The monkey is a companion of Momotaro. He goes to the Ogres' Island with him.

OR

Character: pheasant
Description: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.

OR

Character: dog
Description: The dog is a companion of Momotaro. He breaks the bolts and bars with him.

OR

Character: crow
Description: A clever and resourceful bird who helps the bird catcher in his tasks and becomes a trusted advisor to the emperor.","The characters with the role 'helper' are:

1. Monkey
   - Description: The monkey is a companion of Momotaro. He goes to the Ogres' Island with him.
   - Role: Helper

2. Pheasant
   - Description: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.
   - Role: Helper

3. Dog
   - Description: The dog is a companion of Momotaro. He breaks the bolts and bars with him.
   - Role: Helper",22.722164,['name: pheasant\ndescription: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.\nrole: helper'],1.0,1.0,0.8
