question,cypher,type,ground_truth,answer,latency,retrieved_contexts,context_recall,faithfulness,answer_correctness
How many Folktale nodes are in the graph?,"MATCH (f:Folktale) RETURN toString(count(f)) + "" folktale(s)"" AS ground_truth",aggregation,5 folktale(s),There are 5 folktale nodes in the graph.,27.080535,"[""{'total_folktales': 5}""]",1.0,1.0,0.6666666666666666
How many Event nodes are in the graph?,"MATCH (e:Event) RETURN toString(count(e)) + "" event(s)"" AS ground_truth",aggregation,95 event(s),There are 95 Event nodes in the graph.,24.793408,"[""{'count(e)': 95}""]",1.0,1.0,1.0
How many Character nodes are in the graph?,"MATCH (a:Character) RETURN toString(count(a)) + "" character(s)"" AS ground_truth",aggregation,24 character(s),There are 24 Character nodes in the graph.,25.521994,"[""{'count(n)': 24}""]",1.0,1.0,0.6666666666666666
How many Place nodes are in the graph?,"MATCH (p:Place) RETURN toString(count(p)) + "" place(s)"" AS ground_truth",aggregation,18 place(s),There are 18 Place nodes in the graph.,25.158396,"[""{'count(p)': 18}""]",1.0,1.0,0.6666666666666666
How many Object nodes are in the graph?,"MATCH (o:Object) RETURN toString(count(o)) + "" place(s)"" AS ground_truth",aggregation,12 place(s),There are 12 Object nodes in the graph.,24.876883,"[""{'count(o)': 12}""]",1.0,1.0,0.6666666666666666
How many typed relationships are in the graph?,MATCH ()-[r]->() RETURN count(DISTINCT type(r)) AS ground_truth,aggregation,14,There are 14 typed relationships in the graph.,26.471572,"[""{'total_relationships': 14}""]",1.0,1.0,0.6666666666666666
What is the nationality of the folktale 'The Birdcatcher'?,"MATCH (f:Folktale {title: ""The Birdcatcher""})-[:FROM_NATION]->(n:Nation) RETURN n.name AS ground_truth LIMIT 1",simple_fact,serbian,The nationality of the folktale 'The Birdcatcher' is Serbian.,30.724501,"[""{'nation': 'serbian'}""]",1.0,1.0,0.75
Where does Momotaro live?,"MATCH (a:Character)-[:LIVES_IN]->(p:Place) WHERE toLower(a.name) CONTAINS ""momotaro"" RETURN p.name AS ground_truth LIMIT 1",simple_fact,their village,This information is not in the knowledge base.,53.791869,"[""{'name': 'their village'}""]",1.0,1.0,0.6666666666666666
What is the race of the character Momotaro?,"MATCH (a:Character) WHERE toLower(a.name) CONTAINS ""momotaro"" RETURN a.race AS ground_truth LIMIT 1",simple_fact,human,The character Momotaro is human.,51.633214,"[""{'race': 'human'}""]",1.0,1.0,0.5
What type of place is Constantinople?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""constantinople"" RETURN p.type AS ground_truth LIMIT 1",simple_fact,city,The answer is: Constantinople is a city.,50.339755,"[""{'p.type': 'city'}""]",1.0,1.0,0.6666666666666666
Who is the tailor's wife from 'Sharing Joy and Sorrow'?,"MATCH (c:Character) WHERE c.name CONTAINS ""tailor's wife"" RETURN c.description AS ground_truth",simple_fact,"A good, industrious, and pious wife who is abused by her husband.",The tailor's wife.,87.39971,"[""name: the tailor's wife\ndescription: A good, industrious, and pious wife who is abused by her husband.\nrole: primary_character""]",1.0,0.6666666666666666,0.4444444444444445
What is the description of The Magistrates' Court?,"MATCH (p:Place) WHERE toLower(p.name) CONTAINS ""court"" RETURN p.description AS ground_truth LIMIT 1",simple_fact,"A building used for public services, where the magistrates held court.","The description of The Magistrates' Court is a building used for public services, where the magistrates held court.",92.153419,"[""name: The Magistrates' Court\ndescription: A building used for public services, where the magistrates held court.\ntype: community_building""]",1.0,1.0,0.5
What genre is 'Momotaro' folktale?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_GENRE]->(g:Genre) RETURN g.name AS ground_truth LIMIT 1",simple_fact,fairy_tale,The genre of the 'Momotaro' folktale is a fairy tale.,31.503974,"[""{'genre': 'fairy_tale'}""]",1.0,1.0,0.6666666666666666
What is the gender of the character birdcatcher?,"MATCH (a:Character) WHERE toLower(a.name) CONTAINS ""birdcatcher"" RETURN a.gender AS ground_truth LIMIT 1",simple_fact,male,The gender of the character birdcatcher is male.,52.449256,"[""{'c.gender': 'male'}""]",1.0,1.0,0.8
How did Momotaro convince the animals to join him on his journey?,"RETURN ""Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them."" AS ground_truth",simple_fact,Momotaro convinced the animals by sharing his kibidango (millet dumplings) with them.,This information is not in the knowledge base.,51.102914,[],0.0,1.0,0.6666666666666666
What is Momotaro's Role?,"MATCH (f:Folktale {title: ""Momotaro""})-[:HAS_EVENT]->(:Event)-[:HAS_CHARACTER]->(a:Character {name: ""Momotaro""})-[:HAS_ROLE]->(r:Role) RETURN r.name AS ground_truth LIMIT 1",relational_query,main_character,Momotaro's role is the main character.,47.162853,"[""{'role': 'main_character'}""]",1.0,1.0,0.6666666666666666
List all the events in the folktale 'The Thieves and the Cock',"MATCH (f:Folktale {title: ""The Thieves and the Cock""})-[:HAS_EVENT]->(e:Event) RETURN e.name AS ground_truth ORDER BY e.name",relational_query,Cock Pleads for Mercy; Thief Wrings Cock's Neck; Thief throws Cock into pot.; Thieves steal a Cock.,"The events in the folktale ""The Thieves and the Cock"" are:

1. Thieves steal a Cock.
2. Thief Wrings Cock's Neck
3. Cock Pleads for Mercy
4. Thief throws Cock into pot.

These events drive the story forward through conflict, with the Thieves' actions escalating the situation and introducing tension between them and the Cock.",51.368349,"['{\'e\': {\'thoughts\': [""The event involves external characters acting within the core plot, driving it forward. It\'s not a resolution as there\'s no conflict closure yet."", \'The event involves external action by Thieves, which drives the story forward through conflict and sets up a potential plot point.\', \'The event involves external action: thieves breaking into a house and taking an item. This drives the story forward by escalating the situation.\', \'The event involves external action by Thieves, which drives the story forward through conflict and sets up a potential plot point. This matches option 2: conflict, as it introduces or develops a problem: the theft of the Cock.\', ""The event involves external characters acting within the core plot, driving it forward. The Thieves\' action escalates the situation and introduces conflict."", ""The event involves external characters acting within the core plot, driving it forward. The thieves\' action escalates the situation by taking an item from the house."", ""The event involves external characters acting within the core plot, driving it forward. The Thieves\' action escalates the situation and introduces conflict."", ""The event involves external characters acting within the core plot, driving it forward. The Thieves\' action escalates the situation and introduces conflict by taking an item from the house.""], \'name\': \'Thieves steal a Cock.\', \'description\': \'Some Thieves broke into a house, and found nothing worth taking except a Cock, which they seized and carried off with them.\', \'id\': \'event_956f2649b88c4987b6f97a1527144bed\', \'order\': 0}}', '{\'e\': {\'thoughts\': [""The event doesn\'t drive the story forward through conflict or external help. Instead, it\'s a moment of escalation where the thieves\' actions are about to have consequences for the Cock."", ""The event described is part of the main narrative action, driving the story forward through conflict. The Thieves are acting upon their previous actions, and the hero\'s success is not yet confirmed."", \'The event involves the hero acting within the core plot, specifically reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', \'The event involves the hero acting within the core plot, reacting to a previous action by the thieves. This drives the story forward through conflict.\', ""The hero (the Cock) is being threatened by the thieves\' actions, which drives the story forward through conflict. This is a moment of escalation where the consequences of the thieves\' previous actions are about to unfold."", ""The hero (the Cock) is being threatened by the antagonist\'s agent (the thief), and a confrontation or duel is imminent. This matches option 0: struggle.""], \'name\': ""Thief Wrings Cock\'s Neck"", \'description\': \'When they were preparing their supper, one of them caught up the Cock, and was about to wring his neck,\', \'id\': \'event_bbc629e1fda040afa81b564af247fa58\', \'order\': 1}}', ""{'e': {'thoughts': ['The event involves the hero (the Cock) reacting to a threat and attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.', 'The event involves the hero (the Cock) acting/reacting within the core plot. The Thieves are trying to kill the Cock, but it tries to persuade them not to by offering its usefulness.', 'The event involves a character acting within the core plot, specifically trying to persuade their captors not to kill them. This is part of the main narrative action and drives the story forward.', 'The hero (the Cock) reacts to a threat by attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.', 'The event involves the hero (the Cock) reacting to a threat and attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.', 'The hero (the Cock) reacts to a threat by attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.', 'The hero (the Cock) reacts to a threat by attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.', 'The hero (the Cock) reacts to a threat by attempting to persuade its captors not to kill it. This is part of the main narrative action as it drives the story forward through conflict.'], 'name': 'Cock Pleads for Mercy', 'description': 'when he cried out for mercy and said, “Pray do not kill me: you will find me a most useful bird, for I rouse honest men to their work in the morning by my crowing.”', 'id': 'event_37d5f278b52847b4a5f7b20755e6265c', 'order': 2}}"", '{\'e\': {\'thoughts\': [""The Thief\'s action escalates the conflict between the Thieves and the Cock. The Cock\'s plea for mercy does not resolve any open conflict but rather adds a new layer of tension."", ""The Thief\'s action escalates the conflict between him and the Cock, but it doesn\'t resolve any open conflict. The previous events have set up a situation where the Thieves are struggling for livelihood, and the Cock\'s plea for mercy adds to this tension."", ""The Thief\'s action escalates the conflict between him and the Cock, which has been established as a useful bird. The event involves the hero acting within the core plot."", ""The Thief\'s action escalates the conflict between him and the Cock, which has been established as a useful bird. The event involves the hero acting within the core plot."", ""The Thief\'s action escalates the conflict between him and the Cock, which has been established as a useful bird. The event involves the hero acting within the core plot."", ""The Thief\'s action escalates the conflict between him and the Cock, which has been established as a useful bird. The event involves the hero acting within the core plot.""], \'name\': \'Thief throws Cock into pot.\', \'description\': \'But the Thief replied with some heat, “Yes, I know you do, making it still harder for us to get a livelihood. Into the pot you go!”\', \'id\': \'event_8d57ee350a3944ef90bbf7da8fb76751\', \'order\': 3}}']",1.0,0.75,0.6666666666666666
What Event nodes take place in Constantinople?,MATCH (e:Event)-[:TAKES_PLACE_IN]->(p) WHERE toLower(p.name) CONTAINS 'constantinople' RETURN DISTINCT e.name AS ground_truth,relational_query,The Birdcatcher Lives; Sultana Asks Birdcatcher Favor,"The Event nodes that take place in Constantinople are:

1. Emperor Hears Nightingale Song",58.332976,['name: Emperor Hears Nightingale Song\ndescription: The nightingales were able to sing sweetly and agreeably; the people collected in front of the mosque and listened to their beautiful singing; and the wonder came to the ears of the emperor.\norder: 6'],0.0,1.0,0.6666666666666666
Who are Momotaro's friends?,"MATCH (a:Character)-[r]->(b:Character) WHERE toLower(a.name) CONTAINS ""momotaro"" AND r.type = ""friend"" RETURN DISTINCT b.name AS ground_truth",relational_query,This information is not in the knowledge base.,"Momotaro's friends are not explicitly mentioned in the tool output, but it does mention that he has an ""old couple"" as parents and goes on a journey with them. However, since the question specifically asks for his friends, I will provide a response based on the available information.

The old couple is likely to be Momotaro's family members or caregivers, rather than friends in the classical sense.",97.306775,"[""name: Momotaro\ndescription: Momotaro is the son of the old couple. He goes on a journey to get treasure from the Ogres' Island.\nrole: main_character""]",0.0,0.0,0.5
Which characters appear in the folktale 'The Thieves and the Cock'?,"MATCH (f:Folktale {title: ""The Thieves and the Cock""})-[:HAS_EVENT]->(:Event)-[:HAS_CHARACTER]->(a:Character) RETURN DISTINCT a.name AS ground_truth",relational_query,Thief; Cock,"The characters that appear in the folktale 'The Thieves and the Cock' are:

1. The Thief
2. The Cock",61.106228,['name: Thief\ndescription: A person who broke into a house and stole the Cock.\nrole: primary_character'],1.0,1.0,0.6666666666666666
What are the personality traits of the tiger character?,"MATCH (a:Character)-[r:HAS_TRAIT]->(t:Trait) WHERE toLower(a.name) CONTAINS ""tiger"" RETURN t.name + ' (' + toString(r.strength) + ')' AS ground_truth ORDER BY r.strength DESC LIMIT 5",relational_query,extraversion (0.8); conscientiousness (0.6); conscientiousness (0.6); neuroticism (0.5); neuroticism (0.5),"The tiger character's personality traits are:
- Openness: 0.4
- Conscientiousness: 0.6
- Extraversion: 0.8
- Agreeableness: 0.2
- Neuroticism: 0.1",93.077517,"[""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}"", ""{'traits': None}""]",1.0,0.2,0.3333333333333333
Give me the first 3 events of 'How the Tiger Got Its Stripes.',"MATCH (f:Folktale {title: ""How the Tiger Got His Stripes""})-[:HAS_EVENT]->(e:Event) RETURN e.name AS ground_truth ORDER BY e.order ASC LIMIT 3",complex_query,Tiger Seeks Farm Worker; Tiger Offers Work Reward; Tiger Rejects Monkey Worker,This information is not in the knowledge base.,44.794728,[],0.0,1.0,0.5714285714285715
What happened to Momotaro and his companions when they were in The Ogres' Island castle?,"MATCH (p:Place)<-[:TAKES_PLACE_IN]-(e:Event) WHERE toLower(p.name) CONTAINS ""ogres' island castle"" RETURN e.description AS ground_truth ORDER BY e.order",complex_query,"But the old man never got a taste of the peach. And why did he not?All of a sudden the peach burst in two and there was no stone to it, but a fine boy baby where the stone should have been.“Mercy me!” says the old woman.“Mercy me!” says the old man.; “Why,” says Momotaro, “I’m going on a journey, or as you may say, an adventure, and I shall be needing the kimi-dango on the way.”“Where are you going, Momotaro?” says his mother.“I’m off to the Ogres’ Island,” says Momotaro, “to get their treasure, and I should be obliged if you’d let me have the kimi-dango as soon as may be,” he says.; He hadn’t gone far when he fell in with a monkey.“Kia! Kia!” says the monkey. “Where are you off to, Momotaro?”Says Momotaro, “I’m off to the Ogres’ Island for an adventure.”; They hadn’t gone far when they fell in with a dog.“Bow! Wow! Wow!” says the dog. “Where are you off to, Momotaro?”Says Momotaro, “I’m off to the Ogres’ Island.”“What have you got in your wallet, Momotaro?”; By-and-by they came to the Ogres’ Island.“Now, brothers,” says Momotaro, “listen to my plan. The pheasant must fly over the castle gate and peck the Ogres. The monkey must climb over the castle wall and pinch the Ogres. The dog and I will break the bolts and bars.; He will bite the Ogres, and I will fight the Ogres.”Then there was the great battle.Japanese Fairy tale Series, 1 of 16. Griffiin, Farran and Co. Unknown author and illustrator. Published around the 1890’s.The pheasant flew over the castle gate: “Ken! Ken! Ken!”; Those that were left alive they took prisoners and bound with cords—a wicked lot they were.“Now, brothers,” says Momotaro, “bring out the Ogres’ treasure.”So they did.The treasure was worth having, indeed.; “Kia! Kia!” says the monkey. “Thanks, my Lord Momotaro.”“Ken! Ken!” says the pheasant. “Thanks, my Lord Momotaro.”“Bow! Wow! Wow!” says the dog. “Thanks, my dear Lord Momotaro.”",Momotaro and his companions overcame the Ogre resistance when they were in The Ogres' Island castle.,53.324803,"['name: Overcome Ogre Resistance\ndescription: Momotaro broke the bolts and bars, and the dog leapt into the castle courtyard. “Bow! Wow! Wow!”The brave companions fought till sundown and overcame the Ogres.\norder: 18']",1.0,1.0,0.6666666666666666
What happened after the tailor was put in prison?,"MATCH (f:Folktale)-[:HAS_EVENT]->(e1:Event)-[:POST_EVENT]->(e2:Event) WHERE toLower(e1.description) CONTAINS ""prison"" AND toLower(e1.description) CONTAINS ""tailor"" RETURN e2.description AS ground_truth LIMIT 1",complex_query,"All went on well for a time, but then tailor fell into his old ways, and was surly and quarrelsome. And because tailor dared not beat her, he would seize her by the hair and tear it out. The woman escaped from him, and sprang out into the yard, but he ran after her with his yard-measure and scissors, and chased her about, and threw the yard-measure and scissors at her, and whatever else came his way.",This information is not in the knowledge base.,42.626973,[],0.0,1.0,0.6666666666666666
Which are the 3 most important characters based on the number of events they appear in?,"MATCH (a:Character)<-[:HAS_CHARACTER]-(e:Event) RETURN a.name AS ground_truth, count(e) AS event_count ORDER BY event_count DESC LIMIT 3",complex_query,rabbit; tiger; birdcatcher,This information is not in the knowledge base.,78.139699,[],0.0,1.0,0.6666666666666666
Give me a character who has the role of helper and then describe them.,"MATCH (a:Character)-[:HAS_ROLE]->(r:Role) WHERE toLower(r.name) CONTAINS ""helper"" WITH collect('Character: ' + a.name + '\nDescription: ' + a.description) AS characters RETURN reduce(result = '', c IN characters | result + CASE WHEN result = '' THEN '' ELSE '\n\nOR\n\n' END + c) AS ground_truth",complex_query,"Character: monkey
Description: The monkey is a companion of Momotaro. He goes to the Ogres' Island with him.

OR

Character: pheasant
Description: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.

OR

Character: dog
Description: The dog is a companion of Momotaro. He breaks the bolts and bars with him.

OR

Character: crow
Description: A clever and resourceful bird who helps the bird catcher in his tasks and becomes a trusted advisor to the emperor.","The characters with the role 'helper' are:

1. Monkey
   - Description: The monkey is a companion of Momotaro. He goes to the Ogres' Island with him.

2. Pheasant
   - Description: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.

3. Dog
   - Description: The dog is a companion of Momotaro. He breaks the bolts and bars with him.",96.427677,['name: pheasant\ndescription: The pheasant is a companion of Momotaro. He flies over the castle gate to peck the Ogres.\nrole: helper'],0.5,1.0,0.8
